R	53.3725	-6.29869	A904	07 Feb 2024	A904\n11:00 - Dublin Connolly to Sligo (22 mins late)\nDeparted Broombridge next stop Maynooth	Northbound
R	53.3755	-6.33135	D911	07 Feb 2024	D911\n10:47 - Dublin Connolly to Maynooth (33 mins late)\nDeparted Ashtown next stop Navan Road Parkway	Northbound
R	53.3755	-6.33135	P741	07 Feb 2024	P741\n11:08 - Maynooth to Dublin Connolly (0 mins late)\nArrived Ashtown next stop Pelletstown	Southbound
R	53.3786	-6.19131	E223	07 Feb 2024	E223\n11:20 - Howth to Bray (0 mins late)\nArrived Harmonstown next stop Killester	Southbound
R	53.3815	-6.17699	E916	07 Feb 2024	E916\n10:35 - Bray to Howth (1 mins late)\nArrived Raheny next stop Kilbarrack	Northbound
R	53.4032	-6.14839	E814	07 Feb 2024	E814\n10:25 - Bray to Malahide (1 mins late)\nDeparted Clongriffin next stop Portmarnock	Northbound
R	53.4157	-6.83395	A905	07 Feb 2024	A905\n09:05 - Sligo to Dublin Connolly (8 mins late)\nDeparted Enfield next stop Kilcock	Southbound
R	53.4169	-6.1512	A126	07 Feb 2024	A126\n11:20 - Dublin Connolly to Belfast (1 mins late)\nDeparted Portmarnock next stop Drogheda	Northbound
R	53.4169	-6.1512	E112	07 Feb 2024	E112\n11:30 - Malahide to Greystones (0 mins late)\nDeparted Portmarnock next stop Clongriffin	Southbound
R	53.4273	-7.93683	A805	07 Feb 2024	A805\n09:45 - Westport to Dublin Heuston (0 mins late)\nDeparted Athlone next stop Clara	To Dublin Heuston
R	53.5201	-6.1439	D806	07 Feb 2024	D806\n11:07 - Dublin Connolly to Dundalk (1 mins late)\nDeparted Rush and Lusk next stop Skerries	Northbound
R	53.6118	-6.18226	P704	07 Feb 2024	P704\n10:50 - Dundalk to Dublin Connolly (3 mins late)\nDeparted Balbriggan next stop Skerries	Southbound
R	54.0007	-6.41291	A124	07 Feb 2024	A124\n09:30 - Dublin Connolly to Belfast (6 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0887	-8.52088	A907	07 Feb 2024	A907\n11:05 - Sligo to Dublin Connolly (1 mins late)\nDeparted Ballymote next stop Boyle	Southbound
T	53.1442	-6.06085	E109	07 Feb 2024	E109\n10:00 - Howth to Greystones(0 mins late)\nTERMINATED Greystones at 11:26	Southbound
T	53.2043	-6.10046	E218	07 Feb 2024	E218\n10:10 - Malahide to Bray(-1 mins late)\nTERMINATED Bray at 11:26	Southbound
T	53.2043	-6.10046	E219	07 Feb 2024	E219\n10:20 - Howth to Bray(-3 mins late)\nTERMINATED Bray at 11:31	Southbound
T	53.3531	-6.24591	P739	07 Feb 2024	P739\n10:09 - Maynooth to Dublin Connolly(36 mins late)\nTERMINATED Dublin Connolly at 11:30	Southbound
T	53.3891	-6.07401	E915	07 Feb 2024	E915\n10:04 - Greystones to Howth(-1 mins late)\nTERMINATED Howth at 11:26	Northbound
T	53.712	-6.33538	D805	07 Feb 2024	D805\n10:30 - Dublin Connolly to Drogheda(0 mins late)\nTERMINATED Drogheda at 11:32	Northbound
